height,weight,label
153,86,fat
191,57,thin
146,35,thin
183,69,normal
138,51,fat
187,54,thin
120,68,fat
197,70,thin
173,80,fat
175,90,fat
167,49,thin
168,41,thin
145,118,fat
167,74,fat
195,56,thin
189,45,thin
176,89,fat
180,103,fat
178,58,thin
174,74,normal
149,92,fat
143,94,fat
144,72,fat
152,76,fat
124,67,fat
125,117,fat
199,97,normal
165,118,fat
168,39,thin
198,50,thin
126,35,normal
132,57,fat
137,114,fat
153,94,fat
174,65,normal
135,90,fat
120,60,fat
135,40,normal
163,89,fat
197,67,thin
164,45,thin
139,49,fat
130,43,fat
180,38,thin
163,37,thin
150,67,fat
135,104,fat
129,78,fat
194,109,fat
168,42,thin
191,78,normal
125,59,fat
144,43,normal
127,37,normal
190,52,thin
131,112,fat
198,62,thin
120,69,fat
124,117,fat
187,72,normal
159,115,fat
199,87,normal
178,79,normal
180,41,thin
133,43,normal
185,108,fat
154,72,fat
157,98,fat
173,90,fat
168,73,fat
124,36,normal
137,68,fat
145,88,fat
198,54,thin
185,112,fat
124,74,fat
122,47,fat
180,44,thin
139,81,fat
176,108,fat
198,114,fat
149,105,fat
184,39,thin
196,106,fat
155,50,normal
134,66,fat
182,67,normal
139,63,fat
179,84,fat
149,43,normal
169,98,fat
126,63,fat
193,109,fat
152,86,fat
177,108,fat
139,100,fat
160,78,fat
178,78,normal
144,85,fat
165,47,thin
194,37,thin
188,75,normal
122,62,fat
128,72,fat
156,85,fat
188,44,thin
167,62,normal
196,55,thin
170,42,thin
133,83,fat
170,71,normal
160,100,fat
127,52,fat
185,40,thin
151,66,fat
129,91,fat
152,36,thin
161,43,thin
143,94,fat
168,49,thin
132,115,fat
170,118,fat
127,72,fat
125,97,fat
130,52,fat
194,91,normal
141,118,fat
169,39,thin
131,63,fat
126,115,fat
170,75,fat
128,65,fat
145,109,fat
135,79,fat
181,119,fat
149,114,fat
159,36,thin
161,57,normal
197,70,thin
145,81,fat
147,105,fat
152,116,fat
165,79,fat
153,62,fat
168,69,normal
145,36,thin
161,101,fat
130,101,fat
158,112,fat
193,108,fat
172,65,normal
132,36,normal
147,59,fat
154,80,fat
146,104,fat
189,96,fat
195,113,fat
191,115,fat
153,118,fat
126,83,fat
146,66,fat
191,45,thin
125,113,fat
187,54,thin
154,59,normal
168,61,normal
161,39,thin
128,39,normal
133,63,fat
155,114,fat
179,96,fat
144,64,fat
147,40,normal
156,52,normal
150,62,fat
173,70,normal
150,83,fat
128,111,fat
149,51,normal
133,50,fat
135,66,fat
141,91,fat
134,42,normal
146,60,fat
166,85,fat
131,98,fat
120,76,fat
155,95,fat
194,86,normal
171,78,fat
122,106,fat
148,64,fat
193,48,thin
160,101,fat
197,57,thin
199,64,thin
125,35,normal
154,119,fat
122,63,fat
156,82,fat
141,78,fat
195,76,normal
197,104,fat
190,107,fat
173,77,fat
173,93,fat
175,100,fat
122,49,fat
173,64,normal
183,75,normal
183,42,thin
133,50,fat
192,72,normal
163,108,fat
171,36,thin
193,56,thin
175,107,fat
143,97,fat
142,94,fat
142,59,fat
176,86,fat
161,43,thin
193,37,thin
128,79,fat
148,105,fat
129,48,fat
197,84,normal
133,102,fat
152,93,fat
121,84,fat
123,83,fat
148,67,fat
156,75,fat
125,112,fat
170,74,fat
127,101,fat
138,117,fat
159,41,thin
162,101,fat
180,105,fat
127,63,fat
160,69,fat
185,115,fat
157,50,normal
157,99,fat
181,98,fat
126,45,fat
178,108,fat
169,115,fat
154,112,fat
150,85,fat
194,67,thin
121,61,fat
144,42,normal
182,93,fat
152,56,normal
170,83,fat
175,36,thin
164,84,fat
173,100,fat
175,102,fat
167,115,fat
172,38,thin
128,79,fat
172,116,fat
132,45,fat
139,65,fat
167,53,normal
150,116,fat
154,86,fat
175,66,normal
150,58,fat
197,89,normal
145,117,fat
136,103,fat
159,74,fat
134,40,normal
138,95,fat
167,93,fat
185,78,normal
121,73,fat
170,61,normal
173,40,thin
170,108,fat
129,100,fat
193,35,thin
126,86,fat
126,95,fat
131,79,fat
190,53,thin
185,57,thin
143,41,normal
140,76,fat
167,105,fat
156,35,thin
197,59,thin
198,108,fat
199,62,thin
146,39,thin
124,115,fat
173,112,fat
124,40,fat
122,61,fat
177,89,fat
151,58,fat
140,90,fat
199,77,normal
167,92,fat
188,58,thin
178,115,fat
128,77,fat
135,45,normal
165,68,normal
123,37,normal
196,46,thin
183,91,fat
165,37,thin
129,66,fat
135,71,fat
167,73,fat
148,109,fat
161,71,fat
184,63,normal
142,97,fat
168,56,normal
162,58,normal
198,83,normal
140,50,fat
141,55,fat
