height,weight,label
125,43,normal
121,60,normal
183,57,thin
135,78,normal
162,37,thin
165,64,fat
161,38,thin
142,52,normal
138,55,normal
159,50,fat
198,74,fat
190,65,thin
176,59,fat
189,58,thin
185,71,fat
162,65,fat
121,55,normal
137,79,normal
135,35,fat
129,47,normal
147,68,normal
147,49,fat
160,73,normal
193,48,thin
122,78,normal
127,77,normal
185,44,thin
187,69,fat
188,60,thin
126,79,normal
181,38,thin
150,73,normal
139,78,normal
130,72,normal
188,44,thin
154,57,fat
154,35,thin
150,79,normal
132,54,normal
130,63,normal
177,53,thin
151,57,fat
142,73,normal
155,66,normal
186,68,fat
122,43,normal
184,58,thin
189,60,thin
159,79,normal
185,44,thin
189,65,thin
132,64,normal
196,52,thin
122,43,normal
154,76,normal
132,41,fat
157,68,normal
162,63,fat
132,77,normal
132,40,fat
157,44,thin
160,80,normal
190,60,thin
133,68,normal
165,70,normal
146,77,normal
197,77,fat
161,64,fat
192,57,thin
150,79,normal
139,48,fat
142,54,normal
143,65,normal
174,69,fat
192,79,fat
181,42,thin
143,64,normal
124,39,normal
185,67,fat
169,42,thin
125,78,normal
174,64,fat
200,60,thin
134,61,normal
200,38,thin
195,64,thin
191,72,fat
159,45,thin
148,42,fat
148,60,normal
179,60,fat
172,50,thin
139,46,fat
142,78,normal
152,46,fat
199,38,thin
170,35,thin
184,63,fat
199,79,fat
167,57,fat
144,65,normal
143,80,normal
191,78,fat
149,59,normal
123,75,normal
185,61,thin
125,42,normal
179,42,thin
161,42,thin
185,54,thin
181,73,fat
130,57,normal
127,73,normal
130,52,normal
159,79,normal
157,61,fat
195,44,thin
177,49,thin
190,47,thin
165,77,normal
167,46,thin
154,80,normal
165,66,fat
150,35,thin
192,49,thin
120,63,normal
133,71,normal
141,68,normal
130,63,normal
169,40,thin
150,64,normal
155,37,thin
198,69,thin
127,78,normal
165,44,thin
139,75,normal
199,38,thin
137,35,fat
172,38,thin
188,68,fat
178,48,thin
136,59,normal
164,54,fat
169,76,normal
141,73,normal
124,71,normal
134,72,normal
157,52,fat
159,35,thin
141,35,thin
142,78,normal
154,55,fat
137,79,normal
146,73,normal
129,45,normal
191,62,thin
174,51,thin
195,42,thin
149,59,normal
125,65,normal
167,59,fat
178,64,fat
149,51,fat
173,80,normal
140,55,normal
131,74,normal
143,59,normal
142,52,normal
143,53,normal
171,45,thin
173,63,fat
128,48,normal
182,40,thin
159,48,fat
141,50,normal
121,66,normal
134,51,normal
157,68,normal
124,55,normal
180,50,thin
146,79,normal
149,54,fat
168,55,fat
161,67,normal
199,37,thin
179,41,thin
160,57,fat
192,45,thin
173,56,fat
179,38,thin
191,79,fat
128,45,normal
155,36,thin
142,36,thin
183,79,fat
131,67,normal
148,67,normal
165,65,fat
138,63,normal
159,59,fat
143,38,fat
124,42,normal
184,52,thin
147,36,thin
120,68,normal
190,77,fat
197,46,thin
178,66,fat
189,48,thin
190,48,thin
124,51,normal
127,44,normal
167,49,thin
163,39,thin
179,54,thin
174,53,thin
124,78,normal
151,57,fat
178,66,fat
170,66,fat
175,42,thin
136,58,normal
189,36,thin
194,60,thin
196,66,thin
170,80,normal
161,62,fat
155,41,thin
181,46,thin
200,63,thin
194,50,thin
165,57,fat
188,71,fat
144,39,fat
192,56,thin
133,79,normal
200,75,fat
190,35,thin
136,41,fat
127,38,fat
166,46,thin
