Date,Open,High,Low,Close,Adj Close,Volume
2023-05-03,58000.000000,58900.000000,57800.000000,58300.000000,58237.386719,1047114
2023-05-04,57200.000000,57500.000000,56000.000000,57200.000000,57138.570313,2288474
2023-05-08,57500.000000,58200.000000,57100.000000,57700.000000,57638.031250,1821528
2023-05-09,57800.000000,58700.000000,57300.000000,57500.000000,57438.246094,1412568
2023-05-10,57100.000000,57300.000000,56300.000000,56500.000000,56439.320313,1364811
2023-05-11,56400.000000,57100.000000,56000.000000,56000.000000,55939.859375,1190339
2023-05-12,56200.000000,57200.000000,55600.000000,56600.000000,56539.214844,1236080
2023-05-15,56500.000000,57000.000000,56100.000000,56800.000000,56739.000000,879909
2023-05-16,56700.000000,57400.000000,56000.000000,56100.000000,56039.750000,922948
2023-05-17,55900.000000,58800.000000,55600.000000,57700.000000,57638.031250,2035175
2023-05-18,58200.000000,58400.000000,56800.000000,57200.000000,57138.570313,1112295
2023-05-19,57400.000000,58200.000000,57200.000000,57900.000000,57837.816406,1375866
2023-05-22,57900.000000,58100.000000,57600.000000,57900.000000,57837.816406,985462
2023-05-23,58100.000000,58200.000000,57600.000000,58000.000000,57937.710938,1015317
2023-05-24,57500.000000,57600.000000,56700.000000,56800.000000,56739.000000,1258754
2023-05-25,56600.000000,57000.000000,56300.000000,56700.000000,56639.105469,1177829
2023-05-26,56400.000000,57000.000000,56400.000000,56600.000000,56539.214844,709988
2023-05-30,57000.000000,57100.000000,56400.000000,56800.000000,56739.000000,1155964
2023-05-31,56500.000000,56900.000000,56100.000000,56200.000000,56139.644531,1992398
2023-06-01,56300.000000,56600.000000,56000.000000,56100.000000,56039.750000,1004709
2023-06-02,56300.000000,57500.000000,56000.000000,57200.000000,57138.570313,1677624
2023-06-05,57600.000000,57900.000000,57000.000000,57100.000000,57038.675781,1035494
2023-06-07,57700.000000,58000.000000,57300.000000,57400.000000,57338.355469,1012086
2023-06-08,57000.000000,57000.000000,56300.000000,56500.000000,56439.320313,1734613
2023-06-09,56800.000000,57200.000000,56300.000000,56400.000000,56339.429688,1732451
2023-06-12,56900.000000,57200.000000,56400.000000,56600.000000,56539.214844,867990
2023-06-13,57000.000000,57100.000000,56200.000000,56400.000000,56339.429688,1101921
2023-06-14,56400.000000,56600.000000,55300.000000,55700.000000,55640.179688,2051297
2023-06-15,55700.000000,56100.000000,53700.000000,53900.000000,53842.113281,2719928
2023-06-16,54300.000000,54600.000000,53400.000000,53600.000000,53542.437500,1745708
2023-06-19,53400.000000,53400.000000,52000.000000,52500.000000,52443.617188,2131119
2023-06-20,52400.000000,52900.000000,51500.000000,51700.000000,51644.476563,1767021
2023-06-21,51700.000000,52000.000000,50300.000000,50500.000000,50445.765625,2027881
2023-06-22,50200.000000,51100.000000,50100.000000,50300.000000,50245.980469,1336297
2023-06-23,50200.000000,50500.000000,49550.000000,49700.000000,49646.625000,1755166
2023-06-26,49000.000000,50300.000000,48600.000000,50000.000000,49946.300781,1872956
2023-06-27,50000.000000,50100.000000,49350.000000,49350.000000,49297.000000,1333727
2023-06-28,49700.000000,49750.000000,48500.000000,49000.000000,48947.375000,1659730
2023-06-29,49000.000000,49800.000000,48700.000000,49000.000000,48947.375000,1287518
2023-06-30,48850.000000,49700.000000,48400.000000,49100.000000,49047.269531,1268925
2023-07-03,49300.000000,51000.000000,49300.000000,51000.000000,50945.226563,1691513
2023-07-04,50900.000000,51000.000000,49900.000000,49950.000000,49896.355469,1445459
2023-07-05,49950.000000,50400.000000,48800.000000,48850.000000,48797.539063,2700066
2023-07-06,48850.000000,51500.000000,48700.000000,50900.000000,50845.335938,3139685
2023-07-07,50600.000000,51200.000000,49750.000000,49850.000000,49796.464844,1974639
2023-07-10,49850.000000,50300.000000,49450.000000,49850.000000,49796.464844,1068139
2023-07-11,50100.000000,51000.000000,50000.000000,50700.000000,50645.550781,1212718
2023-07-12,50700.000000,51800.000000,50200.000000,51600.000000,51544.582031,1658795
2023-07-13,52000.000000,52600.000000,51700.000000,51900.000000,51844.261719,1955527
2023-07-14,52300.000000,52800.000000,51600.000000,52800.000000,52743.296875,1900674
2023-07-17,52400.000000,53200.000000,52200.000000,52700.000000,52643.402344,1411212
2023-07-18,52700.000000,52700.000000,51400.000000,51800.000000,51744.367188,1486148
2023-07-19,51800.000000,51800.000000,50100.000000,50400.000000,50345.871094,1674191
2023-07-20,50100.000000,51100.000000,50100.000000,50500.000000,50445.765625,1150775
2023-07-21,50000.000000,50800.000000,49750.000000,50600.000000,50545.656250,1203404
2023-07-24,50100.000000,50300.000000,49400.000000,49850.000000,49796.464844,1943708
2023-07-25,49600.000000,49800.000000,48800.000000,48850.000000,48797.539063,1788062
2023-07-26,48800.000000,48800.000000,46650.000000,47800.000000,47748.664063,3798977
2023-07-27,47500.000000,50600.000000,47500.000000,50600.000000,50545.656250,2861543
2023-07-28,50200.000000,51400.000000,49600.000000,50600.000000,50545.656250,1539813
2023-07-31,50900.000000,51800.000000,50000.000000,51300.000000,51244.906250,2204300
2023-08-01,51800.000000,55300.000000,51800.000000,54900.000000,54841.039063,7074120
2023-08-02,55100.000000,55100.000000,52300.000000,53200.000000,53142.867188,2936126
2023-08-03,52800.000000,53800.000000,52300.000000,53300.000000,53242.757813,2146867
